,Burst Start,Burst Start,Burst Start,Burst Start,Burst Start,Burst Start,Burst Start,Burst Start,Burst End,Burst End,Burst End,Burst End,Burst End,Burst End,Burst End,Burst End,Burst Duration,Burst Duration,Burst Duration,Burst Duration,Burst Duration,Burst Duration,Burst Duration,Burst Duration,Interburst Interval,Interburst Interval,Interburst Interval,Interburst Interval,Interburst Interval,Interburst Interval,Interburst Interval,Interburst Interval,Total Cycle Time,Total Cycle Time,Total Cycle Time,Total Cycle Time,Total Cycle Time,Total Cycle Time,Total Cycle Time,Total Cycle Time,Peaks per Burst,Peaks per Burst,Peaks per Burst,Peaks per Burst,Peaks per Burst,Peaks per Burst,Peaks per Burst,Peaks per Burst,Peak Amp,Peak Amp,Peak Amp,Peak Amp,Peak Amp,Peak Amp,Peak Amp,Peak Amp,Peak Time,Peak Time,Peak Time,Peak Time,Peak Time,Peak Time,Peak Time,Peak Time,Attack,Attack,Attack,Attack,Attack,Attack,Attack,Attack,Decay,Decay,Decay,Decay,Decay,Decay,Decay,Decay,Intraburst Frequency,Intraburst Frequency,Intraburst Frequency,Intraburst Frequency,Intraburst Frequency,Intraburst Frequency,Intraburst Frequency,Intraburst Frequency,Burst Area,Burst Area,Burst Area,Burst Area,Burst Area,Burst Area,Burst Area,Burst Area
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MeanVar1,3224.0,297.23460638957783,176.07011511802267,0.12025,143.869,293.386625,449.120875,606.8605,3224.0,297.26482839640227,176.07094114581778,0.14825,143.897875,293.41675,449.15306250000003,606.893,3224.0,0.030222006823822176,0.0014498184931233588,0.026499999999998636,0.02924999999999045,0.030250000000000554,0.03125000000011369,0.03350000000000364,3223.0,0.15803195780328802,0.006746411634333112,0.1419999999999999,0.15399999999999636,0.15775000000002137,0.1627499999999884,0.17174999999997453,3223.0,0.18825325783431587,0.007453145403781851,0.16999999999999993,0.18300000000002115,0.1885000000000332,0.19425000000001091,0.20199999999999818,3224.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3224.0,0.5143256950194893,0.04738355761616411,0.4032598678382142,0.46848768946546326,0.5263196574616069,0.5500656094999528,0.6337479119741714,3224.0,297.24956381823785,176.07053814612863,0.13425,143.88318750000002,293.40137500000003,449.1371875,606.875,3224.0,0.014957428660056518,0.0008895913754450788,0.013249999999999318,0.014250000000004093,0.014750000000003816,0.015500000000010061,0.017250000000103682,3224.0,0.015264578163765658,0.0007223955705255668,0.013249999999970896,0.01474999999999227,0.01525000000003729,0.015750000000025466,0.018000000000029104,3224.0,33.1653064603949,1.6044228891273298,29.850746268653474,31.999999999883585,33.057851239668814,34.18803418804535,37.735849056605716,3224.0,0.011412347548028839,0.0013283844853620376,0.008254667705132326,0.010319735610800067,0.01142791708395911,0.012504465899250765,0.014724203370199463
