,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,1.84125,1.84125,1.8715,0.030249999999999888,False,0.14500000000000024,0.17525000000000013,1,0.4615144824903654,1.85625,0.014999999999999902,0.015249999999999986,33.057851239669546,0.010446265635444006
MeanVar1,2.0165,2.0165,2.04475,0.028249999999999886,False,0.14250000000000007,0.17074999999999996,1,0.4439871642823846,2.0300000000000002,0.013500000000000068,0.014749999999999819,35.398230088495716,0.009480090272742846
MeanVar1,2.18725,2.18725,2.21525,0.028000000000000025,False,0.14374999999999982,0.17174999999999985,1,0.45072138822843555,2.20125,0.01399999999999979,0.014000000000000234,35.71428571428568,0.009444946584958699
MeanVar1,2.359,2.359,2.3895,0.03049999999999997,False,0.14475000000000016,0.17525000000000013,1,0.4693904198857736,2.37425,0.015249999999999986,0.015249999999999986,32.78688524590167,0.010686424843264817
MeanVar1,2.53425,2.53425,2.56225,0.028000000000000025,False,0.1419999999999999,0.16999999999999993,1,0.44244027702253996,2.548,0.013749999999999929,0.014250000000000096,35.71428571428568,0.009349218689728234
MeanVar1,2.70425,2.70425,2.73275,0.028499999999999748,False,0.14425,0.17274999999999974,1,0.44392098269322583,2.7182500000000003,0.014000000000000234,0.014499999999999513,35.08771929824592,0.009461129803331109
MeanVar1,2.877,2.877,2.90725,0.03025000000000011,False,0.1445000000000003,0.1747500000000004,1,0.4669351361642743,2.8925,0.015500000000000291,0.014749999999999819,33.057851239669304,0.010549791165299013
MeanVar1,3.05175,3.05175,3.07975,0.028000000000000025,False,0.1419999999999999,0.16999999999999993,1,0.4469002120840082,3.06575,0.01399999999999979,0.014000000000000234,35.71428571428568,0.009429155157599844
MeanVar1,3.22175,3.22175,3.2510000000000003,0.02925000000000022,False,0.1447499999999997,0.17399999999999993,1,0.45389210145154946,3.23575,0.01399999999999979,0.01525000000000043,34.18803418803393,0.009888762928859698
MeanVar1,3.39575,3.39575,3.42575,0.029999999999999805,False,0.14375000000000027,0.17375000000000007,1,0.4656430105295377,3.411,0.015249999999999986,0.014749999999999819,33.33333333333355,0.010379164969358031
MeanVar1,3.5695,3.5695,3.597,0.027499999999999858,False,0.14300000000000024,0.1705000000000001,1,0.4378968301966132,3.5835,0.01399999999999979,0.013500000000000068,36.36363636363655,0.009098611542889495
MeanVar1,3.74,3.74,3.77,0.029999999999999805,False,0.14500000000000002,0.17499999999999982,1,0.4565690656054515,3.75425,0.014249999999999652,0.015750000000000153,33.33333333333355,0.010201844137904056
MeanVar1,3.915,3.915,3.94425,0.029249999999999776,False,0.14250000000000052,0.1717500000000003,1,0.466306541612034,3.9295,0.014499999999999957,0.014749999999999819,34.18803418803445,0.010150856469410293
MeanVar1,4.08675,4.08675,4.11475,0.02799999999999958,False,0.14400000000000013,0.1719999999999997,1,0.4535061174702619,4.10075,0.013999999999999346,0.014000000000000234,35.71428571428625,0.009482331154067013
MeanVar1,4.25875,4.25875,4.289,0.030249999999999666,False,0.14524999999999988,0.17549999999999955,1,0.4624450187535797,4.2735,0.014750000000000263,0.015499999999999403,33.05785123966979,0.01048305970664151
MeanVar1,4.43425,4.43425,4.46225,0.02800000000000047,False,0.14250000000000007,0.17050000000000054,1,0.44234113222987564,4.448,0.013750000000000817,0.014249999999999652,35.71428571428512,0.009364816928201809
MeanVar1,4.60475,4.60475,4.63325,0.028500000000000192,False,0.14499999999999957,0.17349999999999977,1,0.445350575937743,4.61875,0.014000000000000234,0.014499999999999957,35.087719298245375,0.009525607046674368
MeanVar1,4.77825,4.77825,4.8085,0.030250000000000554,False,0.14424999999999955,0.1745000000000001,1,0.4669039408379896,4.79375,0.015500000000000291,0.014750000000000263,33.057851239668814,0.010515344201841963
MeanVar1,4.95275,4.95275,4.9805,0.027750000000000163,False,0.1427499999999995,0.17049999999999965,1,0.4408559787186342,4.96675,0.014000000000000234,0.013749999999999929,36.036036036035824,0.00920520449346132
MeanVar1,5.12325,5.12325,5.15375,0.03049999999999997,False,0.14500000000000046,0.17550000000000043,1,0.4717522737558245,5.1377500000000005,0.014500000000000846,0.015999999999999126,32.78688524590167,0.010632934364167098
MeanVar1,5.29875,5.29875,5.32775,0.028999999999999915,False,0.1429999999999998,0.1719999999999997,1,0.45222136245320455,5.313,0.014249999999999652,0.014750000000000263,34.48275862068976,0.009829939951149643
MeanVar1,5.47075,5.47075,5.49825,0.027499999999999858,False,0.14475000000000016,0.17225000000000001,1,0.43747139693807235,5.4845,0.013749999999999929,0.013749999999999929,36.36363636363655,0.009073944890339334
MeanVar1,5.643,5.643,5.6735,0.03049999999999997,False,0.14500000000000046,0.17550000000000043,1,0.46298435207588934,5.65825,0.015249999999999986,0.015249999999999986,32.78688524590167,0.010538435647342161
MeanVar1,5.8185,5.8185,5.8465,0.02799999999999958,False,0.14250000000000007,0.17049999999999965,1,0.44538803290511736,5.8325000000000005,0.014000000000000234,0.013999999999999346,35.71428571428625,0.00941266774422787
MeanVar1,5.989,5.989,6.0185,0.029500000000000526,False,0.1454999999999993,0.17499999999999982,1,0.45663873119097736,6.00325,0.01425000000000054,0.015249999999999986,33.89830508474516,0.010020633307789075
MeanVar1,6.164,6.164,6.1935,0.029500000000000526,False,0.1435000000000004,0.17300000000000093,1,0.4584837358374416,6.17875,0.014750000000000263,0.014750000000000263,33.89830508474516,0.010108494826294915
MeanVar1,6.337000000000001,6.337000000000001,6.3645,0.02749999999999897,False,0.14425000000000043,0.1717499999999994,1,0.43582206636021714,6.350750000000001,0.013749999999999929,0.01374999999999904,36.363636363637724,0.009033778696790907
MeanVar1,6.50875,6.50875,6.53925,0.03049999999999997,False,0.1457499999999996,0.17624999999999957,1,0.4627269432594604,6.52375,0.01499999999999968,0.015500000000000291,32.78688524590167,0.010526100096202952
MeanVar1,6.685,6.685,6.712999999999999,0.02799999999999958,False,0.14250000000000096,0.17050000000000054,1,0.441755336409685,6.69875,0.013750000000000817,0.014249999999998764,35.71428571428625,0.009340908040250255
MeanVar1,6.8555,6.8555,6.885,0.029499999999999638,False,0.1457500000000005,0.17525000000000013,1,0.46399487716302407,6.86975,0.014249999999999652,0.015249999999999986,33.89830508474618,0.010147953345025348
MeanVar1,7.03075,7.03075,7.06025,0.029499999999999638,False,0.1435000000000004,0.17300000000000004,1,0.45805447506057095,7.0455000000000005,0.014750000000000263,0.014749999999999375,33.89830508474618,0.010095082566114503
MeanVar1,7.20375,7.20375,7.23125,0.027499999999999858,False,0.14475000000000016,0.17225000000000001,1,0.436322595331329,7.2177500000000006,0.014000000000000234,0.013499999999999623,36.36363636363655,0.009040934957375266
MeanVar1,7.376,7.376,7.4065,0.03049999999999997,False,0.14550000000000018,0.17600000000000016,1,0.46155019402997133,7.391,0.01499999999999968,0.015500000000000291,32.78688524590167,0.010500130226066075
MeanVar1,7.5520000000000005,7.5520000000000005,7.57975,0.027749999999999275,False,0.1429999999999998,0.17074999999999907,1,0.4327316868087609,7.5655,0.013499999999999623,0.014249999999999652,36.036036036036975,0.009112345467347892
MeanVar1,7.72275,7.72275,7.75225,0.029500000000000526,False,0.1457499999999996,0.17525000000000013,1,0.45861435143920626,7.737,0.01425000000000054,0.015249999999999986,33.89830508474516,0.010070204956306375
MeanVar1,7.898,7.898,7.9275,0.029500000000000526,False,0.14349999999999952,0.17300000000000004,1,0.4602727706610361,7.91275,0.014750000000000263,0.014750000000000263,33.89830508474516,0.010110339044503947
MeanVar1,8.071,8.071,8.0985,0.027499999999999858,False,0.14525000000000077,0.17275000000000063,1,0.4367751767124285,8.08475,0.013749999999999929,0.013749999999999929,36.36363636363655,0.00906052086788368
MeanVar1,8.24375,8.24375,8.27425,0.03049999999999997,False,0.145249999999999,0.17574999999999896,1,0.46499333961581296,8.259,0.015249999999999986,0.015249999999999986,32.78688524590167,0.010576392465840525
MeanVar1,8.4195,8.4195,8.447000000000001,0.027500000000001634,False,0.14349999999999952,0.17100000000000115,1,0.4357728403591819,8.433250000000001,0.013750000000001705,0.013749999999999929,36.3636363636342,0.00907676318101516
MeanVar1,8.5905,8.5905,8.6205,0.02999999999999936,False,0.1462500000000002,0.17624999999999957,1,0.45370675072020317,8.6045,0.013999999999999346,0.016000000000000014,33.333333333334046,0.010134137013402031
MeanVar1,8.76675,8.76675,8.7955,0.028750000000000497,False,0.1429999999999989,0.1717499999999994,1,0.45886331546775794,8.78075,0.013999999999999346,0.014750000000001151,34.782608695651575,0.009891408511681422
MeanVar1,8.9385,8.9385,8.96675,0.028249999999999886,False,0.1460000000000008,0.17425000000000068,1,0.442170909435604,8.9525,0.014000000000001123,0.014249999999998764,35.398230088495716,0.009386366545969704
MeanVar1,9.11275,9.11275,9.142999999999999,0.030249999999998778,False,0.14425000000000132,0.1745000000000001,1,0.46463858766833094,9.128,0.015249999999999986,0.014999999999998792,33.057851239670754,0.010434893585401587
MeanVar1,9.28725,9.28725,9.3145,0.02725000000000044,False,0.14499999999999957,0.17225000000000001,1,0.43253082342640337,9.30125,0.013999999999999346,0.013250000000001094,36.69724770642142,0.008929534916446723
MeanVar1,9.4595,9.4595,9.48975,0.030250000000000554,False,0.1462500000000002,0.17650000000000077,1,0.46190404972704313,9.4745,0.015000000000000568,0.015249999999999986,33.057851239668814,0.01047879794403566
MeanVar1,9.636000000000001,9.636000000000001,9.66375,0.027749999999999275,False,0.1429999999999989,0.17074999999999818,1,0.44157123343864413,9.649750000000001,0.013749999999999929,0.013999999999999346,36.036036036036975,0.009266799755108909
MeanVar1,9.80675,9.80675,9.83675,0.030000000000001137,False,0.14649999999999963,0.17650000000000077,1,0.46026931299498275,9.821,0.01425000000000054,0.015750000000000597,33.33333333333207,0.01023853367695432
MeanVar1,9.98325,9.98325,10.012,0.028750000000000497,False,0.1432500000000001,0.1720000000000006,1,0.4514346995874877,9.997250000000001,0.014000000000001123,0.014749999999999375,34.782608695651575,0.009751570596263184
MeanVar1,10.15525,10.15525,10.1835,0.028249999999999886,False,0.14599999999999902,0.1742499999999989,1,0.44452386350475903,10.16925,0.013999999999999346,0.01425000000000054,35.398230088495716,0.009413318632385523
MeanVar1,10.3295,10.3295,10.35975,0.030250000000000554,False,0.14450000000000074,0.1747500000000013,1,0.4655070214172685,10.345,0.01550000000000118,0.014749999999999375,33.057851239668814,0.01045537620004424
MeanVar1,10.50425,10.50425,10.5315,0.027249999999998664,False,0.14550000000000018,0.17274999999999885,1,0.4312219260067127,10.51825,0.013999999999999346,0.013249999999999318,36.697247706423816,0.008928401547210692
MeanVar1,10.677,10.677,10.7075,0.03049999999999997,False,0.14550000000000018,0.17600000000000016,1,0.471230315139305,10.69225,0.015249999999999986,0.015249999999999986,32.78688524590167,0.01073541867296122
