,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MeanVar1,3224.0,0.5143256950194893,0.04738355761616411,0.4032598678382142,0.46848768946546326,0.5263196574616069,0.5500656094999528,0.6337479119741714,3223.0,0.1882534129692833,0.007427151638272532,0.16999999999999993,0.1832499999999868,0.1885000000000332,0.19425000000001091,0.20249999999998636
