,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MeanVar1,3223.0,0.514288641896016,0.04734417233656055,0.4032598678382142,0.4684705885392151,0.5262780254024376,0.5500541298941414,0.6275373562092822,3222.0,0.1883118404717567,0.008189170687152088,0.16999999999999993,0.1832499999999868,0.1885000000000332,0.19425000000001091,0.38400000000001455
