,Time,Peaks Amplitude,Intervals
MeanVar1,0.13425,0.4412474053977188,0.17300000000000001
MeanVar1,0.30725,0.47333927537112075,0.17274999999999996
MeanVar1,0.48,0.4470898804239431,0.17075000000000007
MeanVar1,0.65075,0.44070023739067055,0.1725
MeanVar1,0.82325,0.46386944025114646,0.17325000000000002
MeanVar1,0.9965,0.44666727148406327,0.17049999999999998
MeanVar1,1.167,0.4476013857351964,0.1725000000000001
MeanVar1,1.3395000000000001,0.481285346706364,0.1735
MeanVar1,1.5130000000000001,0.4423913057616006,0.17074999999999996
MeanVar1,1.68375,0.4366306867911003,0.17249999999999988
MeanVar1,1.85625,0.4615144824903654,0.1737500000000003
MeanVar1,2.0300000000000002,0.4439871642823846,0.17124999999999968
MeanVar1,2.20125,0.45072138822843555,0.17300000000000004
MeanVar1,2.37425,0.4693904198857736,0.17375000000000007
MeanVar1,2.548,0.44244027702253996,0.17025000000000023
MeanVar1,2.7182500000000003,0.44392098269322583,0.1742499999999998
MeanVar1,2.8925,0.4669351361642743,0.1732499999999999
MeanVar1,3.06575,0.4469002120840082,0.16999999999999993
MeanVar1,3.23575,0.45389210145154946,0.17525000000000013
MeanVar1,3.411,0.4656430105295377,0.17249999999999988
MeanVar1,3.5835,0.4378968301966132,0.17074999999999996
MeanVar1,3.75425,0.4565690656054515,0.17525000000000013
MeanVar1,3.9295,0.466306541612034,0.17124999999999968
MeanVar1,4.10075,0.4535061174702619,0.17275000000000063
MeanVar1,4.2735,0.4624450187535797,0.1745000000000001
MeanVar1,4.448,0.44234113222987564,0.17074999999999996
MeanVar1,4.61875,0.445350575937743,0.17499999999999982
MeanVar1,4.79375,0.4669039408379896,0.17300000000000004
MeanVar1,4.96675,0.4408559787186342,0.17100000000000026
MeanVar1,5.1377500000000005,0.4717522737558245,0.17524999999999924
MeanVar1,5.313,0.45222136245320455,0.17149999999999999
MeanVar1,5.4845,0.43747139693807235,0.17375000000000007
MeanVar1,5.65825,0.46298435207588934,0.17425000000000068
MeanVar1,5.8325000000000005,0.44538803290511736,0.17074999999999996
MeanVar1,6.00325,0.45663873119097736,0.17549999999999955
MeanVar1,6.17875,0.4584837358374416,0.1720000000000006
MeanVar1,6.350750000000001,0.43582206636021714,0.17299999999999915
MeanVar1,6.52375,0.4627269432594604,0.1750000000000007
MeanVar1,6.69875,0.441755336409685,0.17099999999999937
MeanVar1,6.86975,0.46399487716302407,0.17575000000000074
MeanVar1,7.0455000000000005,0.45805447506057095,0.17225000000000001
MeanVar1,7.2177500000000006,0.436322595331329,0.17324999999999946
MeanVar1,7.391,0.46155019402997133,0.1745000000000001
MeanVar1,7.5655,0.4327316868087609,0.17149999999999999
MeanVar1,7.737,0.45861435143920626,0.17574999999999985
MeanVar1,7.91275,0.4602727706610361,0.1719999999999997
MeanVar1,8.08475,0.4367751767124285,0.17425000000000068
MeanVar1,8.259,0.46499333961581296,0.17425000000000068
MeanVar1,8.433250000000001,0.4357728403591819,0.1712499999999988
MeanVar1,8.6045,0.45370675072020317,0.17624999999999957
MeanVar1,8.78075,0.45886331546775794,0.17175000000000118
MeanVar1,8.9525,0.442170909435604,0.17549999999999955
MeanVar1,9.128,0.46463858766833094,0.17324999999999946
MeanVar1,9.30125,0.43253082342640337,0.17325000000000124
MeanVar1,9.4745,0.46190404972704313,0.17525000000000013
MeanVar1,9.649750000000001,0.44157123343864413,0.1712499999999988
MeanVar1,9.821,0.46026931299498275,0.17625000000000135
MeanVar1,9.997250000000001,0.4514346995874877,0.17199999999999882
MeanVar1,10.16925,0.44452386350475903,0.17575000000000074
MeanVar1,10.345,0.4655070214172685,0.17324999999999946
MeanVar1,10.51825,0.4312219260067127,0.1739999999999995
MeanVar1,10.69225,0.471230315139305,0.1745000000000001
MeanVar1,10.86675,0.43587848298818455,0.17175000000000118
MeanVar1,11.0385,0.45727717593000217,0.176499999999999
MeanVar1,11.215,0.44497495273857013,0.17175000000000118
MeanVar1,11.386750000000001,0.44667690613620015,0.17624999999999957
MeanVar1,11.563,0.45579095632334665,0.17274999999999885
MeanVar1,11.73575,0.446924193171121,0.17550000000000132
MeanVar1,11.91125,0.4652346757997872,0.17349999999999888
MeanVar1,12.08475,0.43518425126949023,0.17375000000000007
MeanVar1,12.2585,0.4615703212652688,0.17575000000000074
MeanVar1,12.43425,0.4377990266079511,0.17225000000000001
MeanVar1,12.6065,0.46747578084960856,0.176499999999999
MeanVar1,12.783,0.436295378092063,0.17175000000000118
MeanVar1,12.95475,0.4526943294026092,0.17675000000000018
MeanVar1,13.1315,0.44648462631350977,0.17225000000000001
MeanVar1,13.30375,0.45107340873976653,0.17675000000000018
MeanVar1,13.480500000000001,0.47104807795762227,0.17249999999999943
MeanVar1,13.653,0.4387307117655307,0.17624999999999957
MeanVar1,13.82925,0.46241775785619027,0.17324999999999946
MeanVar1,14.0025,0.43754956936270395,0.17600000000000016
MeanVar1,14.1785,0.464016182885267,0.17400000000000126
MeanVar1,14.352500000000001,0.43999073546159634,0.17474999999999952
MeanVar1,14.52725,0.4718107529389385,0.17474999999999952
MeanVar1,14.702,0.43315523304563386,0.17425000000000068
MeanVar1,14.87625,0.46436595251854995,0.17549999999999955
MeanVar1,15.05175,0.43412043516808674,0.17324999999999946
MeanVar1,15.225,0.4625887794989997,0.17650000000000077
MeanVar1,15.4015,0.44247342219298597,0.17275000000000063
MeanVar1,15.574250000000001,0.4697838844824772,0.1767499999999984
